,Adset_Name,date,day_clicks,day_reach,day_spend,day_impression,IT_Aud_ID1_up_bound,IT_Aud_ID2_up_bound,IT_Aud_ID3_up_bound,CPM,Campaign_Daily_Budget,sum_of_IT_Aud_Size
250,AI_20220823_SudaMotor_Dodge_Richcar,2022-08-28,0.0,63.0,12.0,63.0,31301400,34880030,30735900,190.47619047619045,3400,96917330
276,AI_20220822_HyundaiMotor_Lotuscar_Jaguarcar,2022-08-22,0.0,222.0,60.0,236.0,64630310,55380530,43939280,254.23728813559322,3400,163950120
493,AI_20220815_electriccar_Kia_AutomotiveDesign,2022-08-15,0.0,83.0,5.0,87.0,106781360,98117820,92179040,57.47126436781609,3400,297078220
555,AI_20220813_Toyotacars_Fox_Ford,2022-08-13,0.0,17.0,0.0,17.0,154409640,284874330,150086350,0.0,3400,589370320
622,AI_20220812_Shares FiscalandFinance _Automobileindustry_Carchiefmobilization,2022-08-16,0.0,79.0,23.0,83.0,307050980,454837290,33622580,277.10843373493975,3400,795510850
680,購物時尚_0808,2022-08-10,0.0,184.0,73.0,187.0,1122219840,674294881,486104143,390.37433155080214,3400,2282618864
710,金融保險房車_0808,2022-08-08,0.0,214.0,82.0,214.0,115342387,492194130,169568320,383.1775700934579,3400,777104837
711,金融保險房車_0808,2022-08-09,0.0,266.0,83.0,281.0,115342387,492194130,169568320,295.37366548042706,3400,777104837
742,居家生活_0808,2022-08-08,0.0,117.0,48.0,118.0,574430420,614046470,394840382,406.7796610169492,3400,1583317272
402,AI_DB_20220818_MortalKombat 2011videogame _PCgame_FrankSinatra,2022-08-20,1.0,650.0,216.0,695.0,3678340,10688480,61304340,310.7913669064748,3400,75671160
589,餐廳料理_0812,2022-08-15,1.0,567.0,202.0,606.0,120674120,159852130,179267120,333.3333333333333,3400,459793370
524,AI_DB_20220814_Searchandrescue_LegoMindstorms_Mandopop,2022-08-14,1.0,467.0,77.0,481.0,678380,12560770,19688710,160.0831600831601,3400,32927860
621,AI_20220812_Shares FiscalandFinance _Automobileindustry_Carchiefmobilization,2022-08-15,2.0,520.0,174.0,595.0,307050980,454837290,33622580,292.436974789916,3400,795510850
496,AI_20220815_electriccar_Kia_AutomotiveDesign,2022-08-18,3.0,758.0,313.0,817.0,106781360,98117820,92179040,383.10893512851897,3400,297078220
556,AI_20220813_Toyotacars_Fox_Ford,2022-08-14,1.0,262.0,43.0,266.0,154409640,284874330,150086350,161.65413533834587,3400,589370320
152,AI_DB_20220826_Pedagogy_Powertool_Electronics,2022-08-26,4.0,896.0,303.0,1058.0,32233600,33926010,403971390,286.38941398865785,3400,470131000
620,AI_20220812_Shares FiscalandFinance _Automobileindustry_Carchiefmobilization,2022-08-14,2.0,454.0,140.0,504.0,307050980,454837290,33622580,277.77777777777777,3400,795510850
30,AI_DB_20220831_Washingmachine_Waste_Probiotic,2022-09-01,3.0,697.0,241.0,756.0,35030670,38333490,112428890,318.78306878306876,3400,185793050
61,AI_DB_20220830_Zara Retailer _Recreation_Waterbottle,2022-08-31,16.0,3154.0,1086.0,3572.0,6632250,152342109,317154630,304.0313549832027,3400,476128989
619,AI_20220812_Shares FiscalandFinance _Automobileindustry_Carchiefmobilization,2022-08-13,2.0,390.0,123.0,430.0,307050980,454837290,33622580,286.04651162790697,3400,795510850
154,AI_DB_20220826_Pedagogy_Powertool_Electronics,2022-08-28,1.0,202.0,67.0,214.0,32233600,33926010,403971390,313.0841121495327,3400,470131000
400,AI_DB_20220818_MortalKombat 2011videogame _PCgame_FrankSinatra,2022-08-18,19.0,2909.0,1245.0,3877.0,3678340,10688480,61304340,321.1245808614908,3400,75671160
214,AI_DB_20220824_Dell_Noise-cancellingheadphones_HiltonHotels&Resorts,2022-08-24,10.0,1707.0,671.0,2035.0,54753460,6713760,6077648,329.72972972972974,3400,67544868
618,AI_20220812_Shares FiscalandFinance _Automobileindustry_Carchiefmobilization,2022-08-12,3.0,570.0,156.0,607.0,307050980,454837290,33622580,257.001647446458,3400,795510850
31,AI_DB_20220831_Washingmachine_Waste_Probiotic,2022-09-02,2.0,349.0,102.0,388.0,35030670,38333490,112428890,262.88659793814435,3400,185793050
245,AI_20220823_SudaMotor_Dodge_Richcar,2022-08-23,2.0,307.0,71.0,351.0,31301400,34880030,30735900,202.27920227920228,3400,96917330
586,餐廳料理_0812,2022-08-12,9.0,1412.0,404.0,1507.0,120674120,159852130,179267120,268.08228268082286,3400,459793370
562,AI_20220813_Toyotacars_Fox_Ford,2022-08-20,31.0,4022.0,1615.0,5131.0,154409640,284874330,150086350,314.7534593646463,3400,589370320
401,AI_DB_20220818_MortalKombat 2011videogame _PCgame_FrankSinatra,2022-08-19,17.0,2123.0,798.0,2773.0,3678340,10688480,61304340,287.77497295347996,3400,75671160
153,AI_DB_20220826_Pedagogy_Powertool_Electronics,2022-08-27,12.0,1691.0,719.0,1954.0,32233600,33926010,403971390,367.96315250767657,3400,470131000
532,AI_DB_20220814_Searchandrescue_LegoMindstorms_Mandopop,2022-08-22,1.0,135.0,40.0,160.0,678380,12560770,19688710,250.0,3400,32927860
369,AI_DB_20220819_104HumanBank_MizunoCorporation_Chopper motorcycle,2022-08-19,28.0,3509.0,1298.0,4475.0,138780,7168250,6329670,290.0558659217877,3400,13636700
713,金融保險房車_0808,2022-08-11,15.0,2111.0,687.0,2244.0,115342387,492194130,169568320,306.14973262032083,3400,777104837
432,AI_DB_20220817_Lafitness_SnapFitness_Middleschool,2022-08-18,12.0,1394.0,633.0,1738.0,2978203,29550510,2256650,364.21173762945915,3400,34785363
679,購物時尚_0808,2022-08-09,7.0,888.0,301.0,1006.0,1122219840,674294881,486104143,299.20477137176937,3400,2282618864
560,AI_20220813_Toyotacars_Fox_Ford,2022-08-18,40.0,4395.0,2071.0,5675.0,154409640,284874330,150086350,364.93392070484583,3400,589370320
559,AI_20220813_Toyotacars_Fox_Ford,2022-08-17,13.0,1532.0,603.0,1795.0,154409640,284874330,150086350,335.93314763231194,3400,589370320
